"Date","Entry (tags)","Expense amount","Income amount","Currency","Description"
"2014-12-15","衣服","179.00","","CNY",""
"2014-12-15","吃饭","30.00","","CNY",""
"2014-12-15","零食","3.50","","CNY",""
"2014-12-14","买菜","15.00","","CNY",""
"2014-12-14","零食","12.00","","CNY",""
"2014-12-14","吃饭","31.00","","CNY",""
"2014-12-13","衣服","286.00","","CNY","马甲"
"2014-12-13","培训","3,674.00","","CNY","专升本"
"2014-12-13","衣服","30.00","","CNY","裤子"
"2014-12-13","交通","50.00","","CNY","地铁卡充值"
"2014-12-13","水果","5.00","","CNY",""
"2014-12-13","衣服","86.00","","CNY","睡衣"
"2014-12-13","衣服","159.00","","CNY","毛衣"
"2014-12-05","工资","","10,680.54","CNY",""
